Nom,Adresse,Téléphone,Code Postal,lat,lon
1000 et une proprietes	181 rue de la pompe  75116 paris	01 47 27 20 96	75116	48.870962	2.283251
110 immo	110 route de corbeil  91360 villemoisson	01 69 51 30 30	91360	48.653808	2.337884
123 visite	8 chemin des genets  31120 portet sur garonne	05 61 56 21 85	31120	43.535253	1.404741
123webimmo.com	16 rue saint philippe  06000 nice	06 14 73 06 06	6300	43.695318	7.255244
12eme avenue sarl	90 avenue de saint mande  75012 paris 12ème	01 44 75 31 80	75012	48.844415	2.406271
17ème etoile immobilier	37 rue laugier  75017 paris	01 43 80 60 80	75017	48.88181	2.294838
18 marignan	18 rue de marignan   75008 paris 8ème	01 42 56 70 72	75008	48.869106	2.306578
2beapart	25 av de wagram  75017 paris 17ème	01 55 30 04 31	75017	48.876228	2.296548
2c2i - agence du gros caillou	14 rue augereau  75007 paris 7ème	0145559853 / /0679881638	75007	48.857309	2.301975
2p-i paris planète immobilier	58 rue cherche midi  75006 paris	01 45 44 46 44	75006	48.848862	2.325058
3 2 1  international	24 rue louis blanc  75010 paris	01 45 80 73 32	75010	48.88059	2.36622
3 mell real estate	65 67 rue du faubourg st honore  75008 paris 8ème	01 40 07 90 55	75008	48.871351	2.315395
4%  immobilier	13 rue du vieux marche  45000 orleans	02 38 42 29 29	45000	47.898978	1.903162
4%max	54 56 av general leclerc  92513 boulogne billancourt cedex	01 46 03 50 50	92350	48.782851	2.263509
7eme avenue	2 place de la republique  89350 champignelles	03 86 45 17 80	89350	47.779396	3.073039
A 2 a	33 rue marbeuf  75008 paris	01 46 22 66 55	75008	48.869421	2.304829
A beucher immobilier	13 rue de bellefond  75009 paris 9ème	01 45 26 84 19	75009	48.877619	2.347814
A demeure	63 bd rodin  92130 issy les moulineaux	01 46 62 01 84	92130	48.819358	2.25974
A et v immobilier	43 rue claude bernard  75005 paris	01 55 43 26 26	75005	48.840115	2.3462
A m i s	1 rue bapst92600 asnieres	01 47 90 90 10	92600	48.908321	2.284909
A&a immobilier - axo et actifs	9 rue de pointe a pitre  85530 la bruffiere	02 41 39 10 00	85530	47.017414	-1.198704
A&a transactions immobilieres internationales	37 rue de chezy  92200 neuilly sur seine	01 46 37 14 69	92200	48.887342	2.270362
A-part' agence immobilière	63 rue du montparnasse  75014 paris	01 43 21 91 71	75014	48.841817	2.325441
A. b. f eurimmo	18 rue du pont aux choux  75003 paris	01 42 77 78 00	75003	48.86129	2.365179
A.c.k. feeling international immobilier	83 rue michel ange 75016 paris	01 45 27 41 01	75016	48.841367	2.258932
A.c.s. immo	4 rue jeanne gleuzer  92700 colombes	01 47 84 55 20	92700	48.915004	2.229938
A.c.t. - actual conseil transactions	25 rue carnot  92150 suresnes	01 46 03 18 33	92150	48.872358	2.225706
A.i.t.	37 avenue paul doumer  75016 paris	01 45 03 33 85	75016	48.860623	2.282527
A.immo50	50 bouvelvard saint marcel  75005 paris 5ème	01 71 19 70 90	75005	48.83856	2.35679
A.l.g immo	67 rue la boetie  75008 paris	06 62 42 99 55	75008	48.872915	2.311289
A.m.i.p.	75 avenue parmentier  75011 paris 11ème	06 07 03 19 59	75011	48.864492	2.374945
A.v immobilier	237 rue jules bertaut 97430 le tampon	02 62 27 10 00	97418	-21.27967	55.518146
A.v.c.o.	14 rue du general bertrand  75007 paris	06 10 49 35 16	75007	48.847844	2.313145
A1 paris apartments	6 rue des bernardins 75005 paris 5ème	06 83 45 09 33	75005	48.850745	2.350991
Aaa - cabinet thisse paris 15	18 rue mademoiselle  75015 paris	01 53 68 67 67	75015	48.843553	2.295439
Aaa - cabinet thisse paris 16	21 rue jean de la fontaine  75016 paris 16ème	01 42 88 20 00	75016	48.851524	2.273387
Aaz le partenariat immobilier	174 impasse du mas argelliers  34000 montpellier	06 03 01 97 12	34090	43.589665	3.889364
Ab conseils	21 ave mozart  75016 paris	01 45 24 70 10	75016	48.856796	2.272419
Ab home immobilier	275 277 boulevard voltaire  75011 paris	01 46 59 46 59	75011	48.84961	2.394266
Ab immobiliere	2 rue decamps  75016 paris 16ème	01 47 27 01 01	75016	48.865364	2.282851
Abadson	21 rue cronstadt  75015 paris	01 48 28 63 46	75015	48.834225	2.302039
Abagestim	5 rue cognacq jay  75007 paris 7ème	01 56 07 19 27	75007	48.861662	2.304663
Abahit immobilier	9 rue letort  75018 paris	01 55 79 01 02	75018	48.894049	2.342971
Abberley saint honore	97 rue saint honoré 75001 paris	01 40 26 50 00	75001	48.861304	2.343102
Abc immobilier	60/62 rue raymond du temple 94300 vincennes	01 48 08 20 00	94300	48.846651	2.438317
Abh partners	110 rue reaumur 75002 paris	01 55 80 01 62	75002	48.867555	2.346866
Abh partners	2 place du general leclerc 94160 st mande	01 43 65 99 99	94160	48.846047	2.418107
Abm immobilier	9 rue charles et rené auffray  92110 clichy	01 55 90 28 50	92110	48.902038	2.303931
Abm immobilier	111 avenue victor hugo 75784 paris cedex 16	01 40 12 66 53	75116	48.868516	2.282913
Absolu plus immobilier	17 rue augereau  75007 paris 7ème	01 45 57 03 91	75007	48.857044	2.302285
Absolutely parisian	6 rue ernest cresson  75014 paris 14ème	09 81 13 15 25	75014	48.832469	2.330085
Acces immo	4 avenue trudaine  75009 paris	01 45 26 60 60	75009	48.881958	2.345907
Acg de clarens	16 bd des batignolles  75017 paris	01 44 90 07 00	75017	48.883352	2.325625
